65.816,25.66,43,36,992.44
0,14.252,25.8,91.574,1002.2
0,18.5,12.2,67,997.04
0,15.54,8.6,78.8,995.44
0,8.12,9.8,89.6,1000.4
299.87,30.12,16,27.6,992.74
990.74,18.12,19.6,43.8,1005.4
0,17.76,9.4,92.4,997.5
0,21.52,17,24,990.28
0,18.42,13,77,990.8
0,13.2,9,89.6,991.9
22.142,19,26.2,80.2,983.44
0,18.1,6.8,91,998.1
1096.2,20.3,22.4,47.6,997.86
491.48,23.14,12.2,79.2,997.54
0,12.14,12.6,69.8,1003.2
588.06,29.32,28.2,11,994.4
967.67,18.18,19,42.6,1005.1
0,10.36,11,90.8,1010.8
979.25,17.4,23.2,36.6,1007.7
4.458,13.88,16.2,69,1005.7
1046.5,18.62,10.6,50.2,998.2
46.132,13.88,29.2,88.4,993.9
0,8.38,17.2,68,1004.7
798.25,15.26,22.6,55.8,999.14
190.35,24.94,16.6,44.2,996.3
0,10.6,12.6,80.8,999.7
931.48,23.42,10.2,46.8,992.36
0,9.1,13,87.4,999.8
0,14.56,13.8,72.8,1001.3
0,11.54,11.4,88.4,998.04
0,17.7,9.4,92.8,998.3
51.898,12.3,17.2,59.6,1004.6
1141.6,21.64,29.6,48,998.2
1027.5,18.42,21.2,52.6,995.1
0,15.9,5,80,995.38
106.19,27.36,40.2,39.8,988.8
0.55,14.06,8.8,85.4,998.76
56.624,14.4,10,84,1001.3
72.436,27.02,25.2,59,989.18
